dr_mm,fov_mm,eps_triple_useful,eps_triple_raw
25,3,0.0,0.0
25,6,0.0,0.0
25,12,4.3899347121902973e-07,8.351564376068613e-07
25,24,3.509497498960882e-06,6.676590020538114e-06
25,48,2.870213730222903e-05,5.460394359503519e-05
25,96,0.00022673309413764358,0.0004313449187792093
25,192,0.0017440850057704738,0.003318007933598786
40,3,0.0,0.0
40,6,0.0,0.0
40,12,6.723081255489701e-07,1.2790223452491401e-06
40,24,5.374366065536065e-06,1.02243807982485e-05
40,48,4.3942343675233204e-05,8.359744189815941e-05
40,96,0.0003467702872557803,0.0006597078470626042
40,192,0.0026572368589784933,0.005055219757277166
