isotope,Z,A,symbol,half_life_s,half_life_min,beta_plus_pct,projectile,target_el,target_A,target,peak_xs_mb,peak_E_MeV
Ag-99,47,99,Ag,124.0,2.1,84.5,p,Ag,100,100Ag,143.8,18.0
Ag-99,47,99,Ag,124.0,2.1,84.5,d,Pd,98,98Pd,129.13,8.0
Ag-99,47,99,Ag,124.0,2.1,84.5,p,Pd,99,99Pd,57.3,8.0
Ag-99,47,99,Ag,124.0,2.1,84.5,d,Ag,98,98Ag,15.57,9.0
Ag-100,47,100,Ag,120.6,2.0,98.0,p,Pd,100,100Pd,261.68,14.0
Ag-100,47,100,Ag,120.6,2.0,98.0,p,Ag,101,101Ag,238.69,18.0
Ag-100,47,100,Ag,120.6,2.0,98.0,d,Ag,99,99Ag,91.76,7.0
Ag-100,47,100,Ag,120.6,2.0,98.0,d,Pd,99,99Pd,80.18,8.0
Ag-100,47,100,Ag,120.6,2.0,98.0,p,Pd,101,101Pd,67.69,18.0
Ag-100,47,100,Ag,120.6,2.0,98.0,p,In,104,104In,20.37,18.0
Ag-100,47,100,Ag,120.6,2.0,98.0,p,Cd,103,103Cd,14.57,16.0
Ag-100,47,100,Ag,120.6,2.0,98.0,d,Cd,102,102Cd,10.28,9.0
Ag-101,47,101,Ag,666.0,11.1,72.0,p,Ag,102,102Ag,577.86,18.0
Ag-101,47,101,Ag,666.0,11.1,72.0,p,Pd,101,101Pd,397.62,12.0
Ag-101,47,101,Ag,666.0,11.1,72.0,p,Pd,102,102Pd,302.63,18.0
Ag-101,47,101,Ag,666.0,11.1,72.0,d,Pd,100,100Pd,188.97,8.0
Ag-101,47,101,Ag,666.0,11.1,72.0,d,Pd,101,101Pd,131.81,9.0
Ag-101,47,101,Ag,666.0,11.1,72.0,d,Ag,100,100Ag,87.64,9.0
Ag-101,47,101,Ag,666.0,11.1,72.0,p,Cd,104,104Cd,29.08,16.0
Ag-101,47,101,Ag,666.0,11.1,72.0,d,Cd,103,103Cd,16.71,9.0
Ag-101,47,101,Ag,666.0,11.1,72.0,p,In,105,105In,14.82,18.0
Ag-104,47,104,Ag,4152.0,69.2,78.0,p,Pd,104,104Pd,896.48,13.0
Ag-104,47,104,Ag,4152.0,69.2,78.0,p,Pd,105,105Pd,801.95,18.0
Ag-104,47,104,Ag,4152.0,69.2,78.0,p,Ag,105,105Ag,267.9,18.0
Ag-104,47,104,Ag,4152.0,69.2,78.0,d,Pd,104,104Pd,263.98,9.0
Ag-104,47,104,Ag,4152.0,69.2,78.0,d,Ag,103,103Ag,197.88,9.0
Ag-104,47,104,Ag,4152.0,69.2,78.0,d,Pd,103,103Pd,192.92,8.0
Ag-104,47,104,Ag,4152.0,69.2,78.0,p,Cd,107,107Cd,20.56,18.0
Ag-104,47,104,Ag,4152.0,69.2,78.0,d,Cd,106,106Cd,10.08,9.0
Ag-106,47,106,Ag,1437.6,24.0,111.5,p,Pd,107,107Pd,904.53,18.0
Ag-106,47,106,Ag,1437.6,24.0,111.5,p,Pd,106,106Pd,812.75,12.0
Ag-106,47,106,Ag,1437.6,24.0,111.5,d,Pd,106,106Pd,462.6,9.0
Ag-106,47,106,Ag,1437.6,24.0,111.5,d,Ag,105,105Ag,117.98,9.0
Ag-106,47,106,Ag,1437.6,24.0,111.5,d,Pd,105,105Pd,97.26,8.0
Ag-106,47,106,Ag,1437.6,24.0,111.5,p,Ag,107,107Ag,84.88,18.0
Ag-106,47,106,Ag,1437.6,24.0,111.5,p,Cd,109,109Cd,14.01,18.0
As-68,33,68,As,151.6,2.5,99.0,p,As,69,69As,85.54,10.0
As-68,33,68,As,151.6,2.5,99.0,p,Ge,68,68Ge,78.96,15.0
As-68,33,68,As,151.6,2.5,99.0,d,Ge,67,67Ge,55.67,6.0
As-68,33,68,As,151.6,2.5,99.0,p,Br,72,72Br,38.11,18.0
As-68,33,68,As,151.6,2.5,99.0,d,As,67,67As,32.6,6.0
As-68,33,68,As,151.6,2.5,99.0,d,Br,71,71Br,31.9,9.0
As-68,33,68,As,151.6,2.5,99.0,p,Se,71,71Se,31.82,10.0
As-68,33,68,As,151.6,2.5,99.0,d,Se,70,70Se,22.22,8.0
As-69,33,69,As,912.0,15.2,94.1,p,As,70,70As,204.79,18.0
As-69,33,69,As,912.0,15.2,94.1,p,Ge,69,69Ge,154.72,11.0
As-69,33,69,As,912.0,15.2,94.1,d,Ge,68,68Ge,125.75,7.0
As-69,33,69,As,912.0,15.2,94.1,d,Br,72,72Br,35.72,9.0
As-69,33,69,As,912.0,15.2,94.1,d,As,68,68As,29.61,7.0
As-69,33,69,As,912.0,15.2,94.1,p,Br,73,73Br,24.57,18.0
As-69,33,69,As,912.0,15.2,94.1,d,Se,71,71Se,19.37,9.0
As-69,33,69,As,912.0,15.2,94.1,p,Se,72,72Se,19.34,14.0
As-69,33,69,As,912.0,15.2,94.1,p,Ge,70,70Ge,13.9,18.0
As-69,33,69,As,912.0,15.2,94.1,d,Ge,69,69Ge,13.74,9.0
As-70,33,70,As,3156.0,52.6,91.0,p,Ge,70,70Ge,443.68,13.0
As-70,33,70,As,3156.0,52.6,91.0,p,As,71,71As,263.31,18.0
As-70,33,70,As,3156.0,52.6,91.0,d,Ge,69,69Ge,180.1,6.0
As-70,33,70,As,3156.0,52.6,91.0,d,As,69,69As,148.2,7.0
As-70,33,70,As,3156.0,52.6,91.0,p,Ge,71,71Ge,106.11,18.0
As-70,33,70,As,3156.0,52.6,91.0,d,Se,72,72Se,40.69,9.0
As-70,33,70,As,3156.0,52.6,91.0,p,Se,73,73Se,40.26,15.0
As-70,33,70,As,3156.0,52.6,91.0,p,Br,74,74Br,14.0,18.0
Au-186,79,186,Au,642.0,10.7,51.0,p,Pt,186,186Pt,739.47,16.0
Au-186,79,186,Au,642.0,10.7,51.0,p,Pt,187,187Pt,513.35,18.0
Au-186,79,186,Au,642.0,10.7,51.0,d,Pt,185,185Pt,72.0,9.0
Au-186,79,186,Au,642.0,10.7,51.0,p,Pt,185,185Pt,45.76,11.0
Au-186,79,186,Au,642.0,10.7,51.0,d,Au,185,185Au,43.1,9.0
Ba-127,56,127,Ba,762.0,12.7,53.0,p,Cs,128,128Cs,769.54,18.0
Ba-127,56,127,Ba,762.0,12.7,53.0,p,Cs,127,127Cs,728.59,13.0
Ba-127,56,127,Ba,762.0,12.7,53.0,p,Ba,128,128Ba,253.14,18.0
Ba-127,56,127,Ba,762.0,12.7,53.0,d,Cs,127,127Cs,182.38,9.0
Ba-127,56,127,Ba,762.0,12.7,53.0,d,Cs,126,126Cs,174.0,9.0
Ba-127,56,127,Ba,762.0,12.7,53.0,d,Ba,126,126Ba,155.6,9.0
Ba-127,56,127,Ba,762.0,12.7,53.0,p,La,130,130La,12.78,18.0
Bi-196,83,196,Bi,308.0,5.1,86.0,p,Pb,196,196Pb,892.66,18.0
Bi-196,83,196,Bi,308.0,5.1,86.0,p,Pb,197,197Pb,254.06,18.0
Bi-196,83,196,Bi,308.0,5.1,86.0,p,Pb,195,195Pb,71.28,10.0
Bi-196,83,196,Bi,308.0,5.1,86.0,d,Pb,195,195Pb,50.9,9.0
Bi-196,83,196,Bi,308.0,5.1,86.0,d,Bi,195,195Bi,29.93,9.0
Bi-196,83,196,Bi,308.0,5.1,86.0,p,Bi,197,197Bi,10.77,18.0
Br-73,35,73,Br,204.0,3.4,94.0,p,Br,74,74Br,132.22,18.0
Br-73,35,73,Br,204.0,3.4,94.0,p,Se,73,73Se,116.22,12.0
Br-73,35,73,Br,204.0,3.4,94.0,d,Se,72,72Se,106.6,7.0
Br-73,35,73,Br,204.0,3.4,94.0,d,Rb,76,76Rb,15.95,9.0
Br-73,35,73,Br,204.0,3.4,94.0,d,Br,72,72Br,12.71,8.0
Br-73,35,73,Br,204.0,3.4,94.0,d,Kr,75,75Kr,12.61,9.0
Br-73,35,73,Br,204.0,3.4,94.0,p,Rb,77,77Rb,10.25,18.0
Br-74,35,74,Br,1524.0,25.4,178.0,p,Se,74,74Se,408.41,14.0
Br-74,35,74,Br,1524.0,25.4,178.0,p,Br,75,75Br,224.91,18.0
Br-74,35,74,Br,1524.0,25.4,178.0,d,Se,73,73Se,164.2,7.0
Br-74,35,74,Br,1524.0,25.4,178.0,d,Br,73,73Br,90.59,7.0
Br-74,35,74,Br,1524.0,25.4,178.0,p,Se,75,75Se,42.87,18.0
Br-74,35,74,Br,1524.0,25.4,178.0,p,Kr,77,77Kr,30.75,17.0
Br-74,35,74,Br,1524.0,25.4,178.0,d,Kr,76,76Kr,29.76,9.0
Br-75,35,75,Br,5802.0,96.7,74.5,p,Br,76,76Br,526.96,18.0
Br-75,35,75,Br,5802.0,96.7,74.5,p,Se,75,75Se,435.02,11.0
Br-75,35,75,Br,5802.0,96.7,74.5,d,Se,74,74Se,294.91,8.0
Br-75,35,75,Br,5802.0,96.7,74.5,p,Se,76,76Se,272.95,18.0
Br-75,35,75,Br,5802.0,96.7,74.5,d,Se,75,75Se,251.43,9.0
Br-75,35,75,Br,5802.0,96.7,74.5,d,Br,74,74Br,50.01,7.0
Br-75,35,75,Br,5802.0,96.7,74.5,d,Kr,77,77Kr,17.69,9.0
